G20,Data_analyst_hiring,backlog,phase2,technology_readiness,Analytics automation interest,Indeed,,
G21,Business_systems_upgrade,backlog,phase2,technology_readiness,CRM ERP migration underway,Jobs press,,
G22,Technology_leadership_hire,backlog,phase2,technology_readiness,New CIO CTO,LinkedIn press,,
G23,Cloud_migration,backlog,phase2,technology_readiness,Moving systems to cloud,Jobs press,,
G24,Government_contract_award,backlog,phase2,capture_management,Recent contract win,USAspending FPDS,,
G25,Government_contract_loss,backlog,phase2,capture_management,Recent contract loss,USAspending,,
G26,New_NAICS_codes,backlog,phase2,capture_management,Expansion into adjacent markets,SAM,,
G27,Proposal_manager_hiring,backlog,phase2,capture_management,Increasing bid activity,Indeed,,
G28,Capture_manager_hiring,backlog,phase2,capture_management,Direct capture signal,Indeed,,
G29,Contract_vehicle_award,backlog,phase2,capture_management,New vehicle access,FPDS,,
G30,New_CEO,backlog,phase2,organizational_change,Leadership transition,Press LinkedIn,,
G31,Private_equity_investment,backlog,phase2,organizational_change,PE pressure to scale,Press,Hard without paid data
G32,Merger_activity,backlog,phase2,organizational_change,Integration challenges ahead,Press,,
G33,Rebranding_initiative,backlog,phase2,organizational_change,Company repositioning,Website press,,
G34,New_regulation_industry,backlog,phase2,market,Regulatory change affects sector,Trade press,Analyst-grade for SMB
G35,Competitive_pressure_local,backlog,phase2,market,Competitor enters local market,Local news,,
G36,Opportunity_discovery_needs,backlog,phase2,band_it_specific,Success depends on finding opportunities early,Customer interviews,Calibrate from wins
G37,Human_bottleneck_detection,backlog,phase2,band_it_specific,Critical decisions in few individuals,Interviews site,,
G38,Institutional_knowledge_risk,backlog,phase2,band_it_specific,Expertise hard to transfer,Reviews jobs,,
G39,Signal_rich_environment,backlog,phase2,band_it_specific,Industry generates actionable information,Vertical definition,,
G40,Growth_through_coordination,backlog,phase2,band_it_specific,Success needs coordination not just hiring,Interviews,,
