rank,agency_name,website,city,state,employee_estimate,agency_score,why_flagged,signals_fired,exclude_flags,evidence_links,verify_status,verification_hints,source_notes
11,Buarich - Web Design & Digital Marketing Agency,https://www.buarich.com/,VA 22191,USA,,72,Flagged: H01 (client acquisition); H02 (home services|hvac); H03 (content on site),H01:client acquisition|H02:home services|hvac|H03:content on site,,https://www.buarich.com/|https://www.buarich.com/careers,pending,Confirm employee count and SMB portfolio before call; Verify BD job still open on careers page; Strong Cat Bot prospect — prepare sample mouse for their vertical,places_census:digital marketing agency Potomac MD; maps=https://maps.google.com/?cid=16159262254609756384&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
12,Social Driver,https://socialdriver.com,Washington,DC,15,70,Flagged: H02 (smb); H03 (content on site); H04 (directory),H02:smb|H03:content on site|H04:directory|H06:new clients/hiring,,https://socialdriver.com|https://clutch.co/profile/social-driver,pending,Confirm employee count and SMB portfolio before call; Strong Cat Bot prospect — prepare sample mouse for their vertical,DC digital agency; verify SMB vs assoc focus
13,Level Agency,https://www.level.agency/,MD 21046,USA,,70,Flagged: H02 (home services|small business); H03 (content on site); H04 (directory),H02:home services|small business|H03:content on site|H04:directory|H06:new clients/hiring,,https://www.level.agency/,pending,Confirm employee count and SMB portfolio before call; Strong Cat Bot prospect — prepare sample mouse for their vertical,places_census:digital marketing agency Silver Spring MD; maps=https://maps.google.com/?cid=6183269544952960958&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
14,Harpoon Marketing,https://harpoonmarketing.com,Maryland,MD,10,67,Flagged: H02 (retail|smb); H03 (content on site); H04 (directory),H02:retail|smb|H03:content on site|H04:directory|H07:ghl/white-label,,https://harpoonmarketing.com,pending,Confirm employee count and SMB portfolio before call; Strong Cat Bot prospect — prepare sample mouse for their vertical,HubSpot MD provider
15,Work Smarter Digital,https://worksmarterdigital.com,Arlington,VA,6,67,Flagged: H02 (contractor|home services|legal|med spa|small business|smb); H03 (content on site); H04 (directory),H02:contractor|home services|legal|med spa|small business|smb|H03:content on site|H04:directory|H07:ghl/white-label,,https://worksmarterdigital.com,pending,Confirm employee count and SMB portfolio before call; Strong Cat Bot prospect — prepare sample mouse for their vertical,Gold-path GHL white-label; also Big Band prospect
16,Black Digital,http://blackdigitalgroup.com/,DC 20001,USA,,65,Flagged: H01 (growth marketing); H03 (content on site); H06 (new clients/hiring),H01:growth marketing|H03:content on site|H06:new clients/hiring,,http://blackdigitalgroup.com/|http://blackdigitalgroup.com/careers,pending,Confirm employee count and SMB portfolio before call; Verify BD job still open on careers page; Strong Cat Bot prospect — prepare sample mouse for their vertical,places_census:digital marketing agency Washington DC; maps=https://maps.google.com/?cid=6395193404863848543&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
17,Verbsz Marketing,https://www.verbszmarketing.com/,VA 20191,USA,,63,Flagged: H03 (content on site); H04 (directory); H05 (referrals),H03:content on site|H04:directory|H05:referrals|H06:new clients/hiring,,https://www.verbszmarketing.com/,pending,Confirm employee count and SMB portfolio before call; Strong Cat Bot prospect — prepare sample mouse for their vertical,places_census:digital marketing agency Tysons VA; maps=https://maps.google.com/?cid=17365530339348967092&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
18,Revv Partners,https://www.revvpartners.com,North Bethesda,MD,8,62,Flagged: H02 (home services|small business|smb); H03 (content on site); H04 (directory),H02:home services|small business|smb|H03:content on site|H04:directory,,https://www.revvpartners.com,pending,Confirm employee count and SMB portfolio before call; Strong Cat Bot prospect — prepare sample mouse for their vertical,HubSpot MD SMB explicit; seed from reseller verify
19,Donnelly Marketing Group,https://donnellymarketing.com,Maryland,MD,5,62,Flagged: H02 (small business|smb); H03 (content on site); H04 (directory),H02:small business|smb|H03:content on site|H04:directory,,https://donnellymarketing.com,pending,Confirm employee count and SMB portfolio before call; Strong Cat Bot prospect — prepare sample mouse for their vertical,HubSpot MD fractional SMB
20,Mambo Media,https://mambomedia.com,Washington,DC,8,60,Flagged: H02 (nonprofit|smb); H03 (content on site); H06 (new clients/hiring),H02:nonprofit|smb|H03:content on site|H06:new clients/hiring,,https://mambomedia.com,pending,Confirm employee count and SMB portfolio before call; Strong Cat Bot prospect — prepare sample mouse for their vertical,Boutique DC digital
21,The Cyphers Agency,https://thecyphersagency.com,Tysons,VA,12,60,Flagged: H02 (restaurant); H03 (content on site); H06 (new clients/hiring),H02:restaurant|H03:content on site|H06:new clients/hiring,,https://thecyphersagency.com,pending,Confirm employee count and SMB portfolio before call; Strong Cat Bot prospect — prepare sample mouse for their vertical,Tysons full-service
22,Eberly & Collard Public Relations,https://eberlycollard.com,Falls Church,VA,8,60,Flagged: H02 (smb); H03 (content on site); H06 (new clients/hiring),H02:smb|H03:content on site|H06:new clients/hiring,,https://eberlycollard.com,pending,Confirm employee count and SMB portfolio before call; Strong Cat Bot prospect — prepare sample mouse for their vertical,PR+digital hybrid
23,PBJ Marketing,https://pbjmarketing.com,Washington,DC,12,60,Flagged: H02 (dental|home services|legal|nonprofit|smb); H03 (content on site); H06 (new clients/hiring),H02:dental|home services|legal|nonprofit|smb|H03:content on site|H06:new clients/hiring,,https://pbjmarketing.com,pending,Confirm employee count and SMB portfolio before call; Strong Cat Bot prospect — prepare sample mouse for their vertical,Vertical SMB pages
24,Digital Firefly Marketing,https://digitalfireflymarketing.com,Gaithersburg,MD,6,60,Flagged: H02 (nonprofit|smb); H03 (content on site); H06 (new clients/hiring),H02:nonprofit|smb|H03:content on site|H06:new clients/hiring,,https://digitalfireflymarketing.com,pending,Confirm employee count and SMB portfolio before call; Strong Cat Bot prospect — prepare sample mouse for their vertical,Gaithersburg
25,Arlington Strategy,https://arlingtonstrategy.com/?utm_source=GMB&utm_medium=GMB&utm_campaign=GMB,VA 22207,USA,,60,Flagged: H02 (dental|legal|nonprofit); H03 (content on site); H06 (new clients/hiring),H02:dental|legal|nonprofit|H03:content on site|H06:new clients/hiring,,https://arlingtonstrategy.com/?utm_source=GMB&utm_medium=GMB&utm_campaign=GMB,pending,Confirm employee count and SMB portfolio before call; Strong Cat Bot prospect — prepare sample mouse for their vertical,places_census:digital marketing agency Arlington VA; maps=https://maps.google.com/?cid=2556947431085783093&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
26,Plush Marketing Agency,https://plushmarketingagency.com/,MD 20759,USA,,60,Flagged: H02 (restaurant|retail|small business); H03 (content on site); H05 (referrals),H02:restaurant|retail|small business|H03:content on site|H05:referrals,,https://plushmarketingagency.com/,pending,Confirm employee count and SMB portfolio before call; Strong Cat Bot prospect — prepare sample mouse for their vertical,places_census:digital marketing agency Bethesda MD; maps=https://maps.google.com/?cid=14929875793218044064&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
27,BoBella,https://www.bobellabrands.com/,MD 20814,USA,,60,Flagged: H02 (retail|small business); H03 (content on site); H06 (new clients/hiring),H02:retail|small business|H03:content on site|H06:new clients/hiring,,https://www.bobellabrands.com/,pending,Confirm employee count and SMB portfolio before call; Strong Cat Bot prospect — prepare sample mouse for their vertical,places_census:digital marketing agency Bethesda MD; maps=https://maps.google.com/?cid=16142334992848101342&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
28,Sweet Media Digital Agency,https://sweetmedia.net/,MD 20850,USA,,60,Flagged: H02 (home services|hvac|plumb|small business); H03 (content on site); H06 (new clients/hiring),H02:home services|hvac|plumb|small business|H03:content on site|H06:new clients/hiring,,https://sweetmedia.net/,pending,Confirm employee count and SMB portfolio before call; Strong Cat Bot prospect — prepare sample mouse for their vertical,places_census:digital marketing agency Bethesda MD; maps=https://maps.google.com/?cid=7074201055260389022&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
29,Samantha Digital,https://samanthadigital.com/virginia-web-design/fairfax-va/,VA 22030,USA,,60,Flagged: H02 (hvac|plumb|small business); H03 (content on site); H05 (referrals),H02:hvac|plumb|small business|H03:content on site|H05:referrals,,https://samanthadigital.com/virginia-web-design/fairfax-va/,pending,Confirm employee count and SMB portfolio before call; Strong Cat Bot prospect — prepare sample mouse for their vertical,places_census:digital marketing agency Fairfax VA; maps=https://maps.google.com/?cid=17811666802433645032&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
30,Climb Digital Agency,http://www.climbdigitalagency.com/,VA 20110,USA,,60,Flagged: H02 (contractor|hvac|local business|restaurant); H03 (content on site); H06 (new clients/hiring),H02:contractor|hvac|local business|restaurant|H03:content on site|H06:new clients/hiring,,http://www.climbdigitalagency.com/,pending,Confirm employee count and SMB portfolio before call; Strong Cat Bot prospect — prepare sample mouse for their vertical,places_census:digital marketing agency Manassas VA; maps=https://maps.google.com/?cid=6863749453591384231&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
