rank,retailer_or_operator,entity_type,online_home_goods_focus,home_goods_categories,reverse_logistics_model,buyer_program_url,secondary_url,truckload_access,typical_inventory_grades,ships_from,how_to_buy_truckloads,upstream_tier,requires_resale_cert,legitimacy_score,honest_limitations,customer_verdict,customer_why
11,Macy's / Bloomingdale's (Dept Store Auctions),e_retailer,medium_mix,home_decor_textiles_cookware_small_home,Department store returns via shared B-Stock portal,https://bstock.com/departmentstore,https://bstock.com/departmentstore/faq/,Yes_TL_LTL,Apparel-heavy but home in GM; returns from multiple DCs,MD GA CA FL TX WA IL OH etc. per FAQ,Apply Department Store Liquidations; scan for home décor lots; many locations,1_retailer_direct_marketplace,Yes,4,Portal is apparel-skewed; home goods is secondary in mix,,,
12,Kohl's / Kohls.com,e_retailer,medium,domestics_bedding_housewares_small_appliances_kitchen,Kohl's uses 3PL/liquidators; no dedicated public Kohl's B-Stock storefront like Walmart,https://bstock.com/auctions/kohls,,Mostly_via_brokers_TL,Returns; shelf pulls; Kohl's private labels,Often PA TX DCs via liquidators,No direct Kohl's.com truckload portal found—source via ReturnPro/Direct Liquidation Liquidation.com or vetted brokers (e.g. Liquiditys Kohl's Home lots); verify manifest,2_3PL_or_broker,Usually_yes,3,Real returns exist but access is broker-mediated—not same transparency as Wayfair B-Stock,,,
13,Bed Bath & Beyond Inc (online brand),e_retailer,primary,bed_bath_kitchen_decor,Online-only retailer post-bankruptcy; NOT the old store liquidation channel,https://www.bedbathandbeyond.com,,No_public_TL_program,Overstock/returns handled internally; old BBB store stock was separate 2023 wind-down,N/A,Do not confuse with defunct big-box store truckloads; any BBB-labeled TL is broker inventory not live retailer program,3_broker_or_legacy,Varies,2,Brand lives on Overstock successor; no verified direct return-center buyer program,,,
14,IKEA / IKEA.com,e_retailer,primary_furniture,ready_to_assemble_furniture_decor_textiles,Internal circular model—As-Is and Buyback; no US wholesale truckload program,https://www.ikea.com/us/en/circular/buy-back/,,No_US_truckloads,Store As-Is; buyback credit—not B2B TL,IKEA stores US,Cannot buy IKEA return-center truckloads at scale publicly; broker IKEA pallets are secondary unverified,Not_public,No,2,Friend's model does not map to IKEA corporate returns,,,
15,Williams-Sonoma Inc (Pottery Barn West Elm Rejuvenation WS),e_retailer,primary,furniture_decor_cookware_bedding,Returns processed internally; B2B contract for trade—not liquidation TL,https://www.wsib2b.com/contract/,https://www.potterybarn.com/shop/sale/open-box-deals/,No_public_return_TL,Open box online; outlet stores; contract grade for designers,N/A,No truckload access found—relationship B2B contract only; outlets are retail not wholesale,Not_public,For_contract,2,Premium brands rarely dump returns on public auctions,,,
16,Overstock / Beyond Inc,e_retailer,primary,home_furniture_decor,Third-party marketplace + owned inventory; liquidation via standard closeout not public RC,https://www.bedbathandbeyond.com,,No_public_TL,Own overstock; not a returns aggregator for other retailers,N/A,Not a return-center source; competitor retailer,,2,Varies,2,Was liquidator historically; now retailer,,,
17,QVC / QVC.com,e_retailer,medium,home_kitchen_decor_collectibles,TV/online returns via liquidators; no official truckload portal found,,,Via_Liquidation.com_or_brokers,Returns; overstock,Varies,Monitor Liquidation.com housewares; ask brokers specializing in QVC/HSN returns,2_3PL_or_broker,Usually_yes,3,Real returns volume but opaque access,,,
18,HSN / HSN.com,e_retailer,medium,home_kitchen_electronics_decor,Sister Qurate brand; same opaque liquidation as QVC,,,Via_brokers,Returns; overstock,Varies,Same as QVC row,2_3PL_or_broker,Usually_yes,3,Often bundled with QVC lots in broker listings,,,
19,TJX / HomeGoods / Homesense,e_retailer,medium,home_decor_furniture_accessories,Off-price model—buys closeout not primary online-return seller; limited public TL,,,Rare_public,Overstock; some salvage,Varies,HomeGoods is buyer of others' excess—different economics; occasional broker lots,3_broker,Varies,2,Wrong supply chain for online-return-center thesis,,,
20,Big Lots,e_retailer,medium,furniture_home_decor_housewares,Retailer distress/closeout; when closing uses liquidators not ongoing return TL program,,,When_available,Closeout; returns mixes,Varies,Watch bankruptcy/closeout auctions—not steady return center,3_event_driven,Varies,3,Not a dependable online-return pipeline,,,
21,At Home,e_retailer,medium,home_decor_furniture seasonal,Store-centric; online growing; no official B-Stock found,,,Via_brokers_if_any,Returns; overstock,Varies,Broker search only,3_broker,Varies,3,Verify any At Home labeled lot source,,,
22,Bob's Discount Furniture,e_retailer,primary,furniture_mattress,Regional furniture e-comm + stores; no public return TL marketplace found,,,Unknown,Returns likely via 3PL not public,Varies,Enterprise sales to ReturnPro-class 3PLs; no public URL,2_enterprise_only,Unknown,2,May require industry relationship,,,
23,Ashley Furniture Industries / Ashley.com,e_retailer,primary,furniture_mattress,Manufacturer/dealer network; returns flow through dealers/3PL not public auction,,,Dealer_or_3PL,Returns; floor samples,Varies,Dealer closeout separate from dot-com return centers,2_enterprise_only,Varies,2,Not same as marketplace return TL,,,
24,Restoration Hardware / RH.com,e_retailer,primary,luxury_furniture_lighting_decor,High-end; returns/refurb internal; no public truckload program,,,No_public,Outlet/refurb channels,N/A,Not accessible at truckload level without trade relationship,Not_public,N/A,1,Ultra-premium—unlikely bulk return TL,,,
25,Chewy.com,e_retailer,low_for_home_goods,pet_only,Pet e-commerce returns—skip for home furnishings unless customer expands,,,N/A,N/A,N/A,Exclude unless category expansion,NA,NA,1,Wrong category,,,
26,ReturnPro (formerly goTRG),reverse_logistics_3PL,operates_for_many,all_categories_incl_home,Runs return centers for major retailers; sells via owned marketplaces,https://www.returnpro.com/solutions/recommerce-services,https://www.directliquidation.com/,Yes_via_DL_and_goWholesale,Graded returns; refurbished; overstock,North America return centers network,Contact ReturnPro for enterprise buyer; buy truckloads on Direct Liquidation (multi-retailer); goWholesale for negotiated premium stock,2_3PL_official_outlets,Yes,5,This IS the return-center operator class—closest to what friend described; may need volume/approval,,,
27,Direct Liquidation (ReturnPro),liquidation_marketplace,multi_retailer,home_furniture_electronics_GM,ReturnPro-owned B2B auction; aggregates retailer return flows,https://www.directliquidation.com,,Yes_TL_pallet,Returns; overstock; offer-based buying per 2025 relaunch,US,Register business; filter home/furniture; relaunched platform with manifests/MSRP tools,2_3PL_marketplace,Yes,5,Multi-retailer returns in one place—not PFP-style fake GOB,,,
28,Liquidation.com (Liquidity Services),liquidation_marketplace,multi_retailer,furniture_housewares_home_improvement,Major reverse-logistics auctioneer; Wayfair Amazon Target mixes,https://www.liquidation.com,https://www.liquidation.com/c/truckloads,Yes_TL,Returns; salvage; manifested Wayfair furniture TL,PA KY IN warehouses + seller locations,Register; call truckload desk 877-303-8739; filter Furniture Housewares; Wayfair US lots ship from Liq.com warehouses,2_major_3PL_auction,Yes,5,Explicit Wayfair return-description on furniture truckloads; benchmark + source,,,
29,B-Stock Solutions (platform),marketplace_platform,hosts_retailers,all,Technology platform hosting retailer-owned marketplaces—not inventory owner,https://bstock.com,https://bstock.com/auctions/truckload-auctions/,Yes,Varies by seller,Varies,Create B-Stock account; apply to EACH retailer marketplace separately; use truckload auction search,1_platform_register_once,Yes,5,Master index—apply Wayfair Walmart Target HD Lowe's Costco Sam's Best Buy Amazon etc.,,,
30,B-Stock Supply / Private Truckloads,fixed_price_channel,multi_retailer,home_GM_furniture,Fixed-price TL without auction—newer channel,https://bstock.com,,Yes_TL_fixed,Overstock; returns sortable/non-sortable,US,For buyers who want skip-auction TL; watch B-Stock announcements,2_platform,Yes,4,Less competition than auctions; inventory rotates,,,
31,BULQ,aggregator_broker,multi_retailer,home_in_mixed_lots,Smaller lots; sources from retailer returns via supply chain partners,https://bulq.com,,Pallet_case_not_always_TL,Returns; mixed conditions,US warehouses,Good for testing; often downstream of return centers; filter home categories,3_broker,Yes,4,Friend may know already—use as comp not primary discovery,,,
32,Liquiditys,aggregator_broker,multi_retailer,home_furniture_Wayfair_box_damage,Broker-priced pallets/truckloads citing retailer names,https://liquiditys.com,,Yes_TL_claimed,Box damage returns; Wayfair Target Kohl's home lots,TX FL IL etc. per SKU,Request call; verify manifest; compare to B-Stock Wayfair direct pricing,3_broker,Yes,4,Convenient but markup over retailer-direct B-Stock,,,
33,Liquidation.com truckload desk (human),sales_channel,multi_retailer,furniture,Concierge for large buyers,https://www.liquidation.com/c/truckloads,mailto:lcomtruckloads@liquidation.com,Yes_TL,Custom TL sourcing,US,Email lcomtruckloads@liquidation.com or 877-303-8739 for furniture TL not listed,2_3PL_sales,Yes,5,For volume buyers wanting specific home-goods TL,,,
34,Inmar Intelligence / Optoro heritage,reverse_logistics_3PL,enterprise,multi_category,Enterprise returns optimization; historically Optoro; not consumer truckload site,https://www.inmar.com,,Enterprise_only,Graded returns,US,Enterprise partnership—not pallet website,2_enterprise,NA,4,Competitor to ReturnPro; contact if scaling,,,
35,Samsung / Whirlpool / Electrolux (B-Stock),manufacturer_brand,adjacent,appliances,Brand overstock/returns via B-Stock brand portals,https://bstock.com/buy/sellers,,Yes_select,Returns; overstock appliances,US,Apply per brand marketplace on B-Stock if customer sells appliances,1_brand_direct,Yes,4,Adjacent to home—kitchen/laundry not upholstery,,,
