rank,title,url,source_name,category,asking_price,est_resale_or_benchmark,est_margin_pct,legitimacy_score,legitimacy_note,why_surfaced,customer_verdict,customer_why
13,"Excess Pallet — Wayfair furniture & home décor pallets","https://excesspallet.com/product-category/home-kitchen/",Excess Pallet Liquidation,home_furnishings,"Per-pallet quote","Category page—select specific SKU",unknown,4,"Legit reseller site; pick specific pallet SKU before judging economics.","Browse for smaller pallet entry than full truckload.",,
14,"Direct Liquidation — furniture category (live auctions)","https://www.directliquidation.com/furniture",Direct Liquidation,home_furnishings,"Bid / Buy Now","Use liquidation.com furniture closing bids as comp",varies,4,"Requires account; auction dynamics; filter Home category.","Upstream retailer-direct marketplace; daily furniture lots.",,
15,"B-Stock Direct — Walmart furniture truckload programs","https://bstock.com/direct/furniture/",B-Stock,home_furnishings,"Buy Now ~20% MSRP (example on site)","Program-level; check each listing MSRP",varies,4,"Official B2B channel; registration required; furniture programs rotate.","Upstream when customer has B-Stock buyer account.",,
16,"B-Stock — Target auctions (furniture gaylords appear periodically)","https://bstock.com/auctions/retailers/target/",B-Stock,home_furnishings,"Auction","Example blog: 6-pallet furniture $5,679 MSRP references",varies,4,"Official Target channel; search Furniture filter after login.","Periodic furniture/H&G gaylords—set alerts.",,
17,"888 Lots — furniture & décor category","https://888lots.com/lots?category=furniture-and-decor",888 Lots,home_furnishings,"Login to see lots","Often empty category—check general merchandise",unknown,3,"Legit B2B platform but category may have zero lots; needs account.","Re-check after login; strong if lots appear.",,
18,"Via Trading — wholesale liquidation (furniture category)","https://www.viatrading.com/",Via Trading,home_furnishings,"Auction / fixed","Varies by lot",varies,4,"Long-running LA liquidator; resale cert; inspect lot manifests.","Upstream pallet/truckload broker; furniture in mix.",,
19,"Genco Marketplace","https://www.gencomarketplace.com/",Genco Marketplace,home_furnishings,"Sales rep / auction","Truckload manifests when available",varies,4,"Major FedEx-affiliated liquidator; often human-mediated sales.","Platform-scale upstream; contact rep for furniture manifests.",,
20,"Unboxed Wholesale — truckloads (furniture + store closings)","https://www.unboxedwholesale.com/",Unboxed Wholesale,home_furnishings,"Quote","Intermittent store closing buys",varies,3,"Opportunity buys are sporadic; relationship-driven.","Watch for store-closing furniture truckloads.",,
21,"Quicklotz — pallets hub (verify furniture stock)","https://www.quicklotz.com/collections/furniture/6762573000005209889",Quicklotz,home_furnishings,"Call / inquiry","Furniture collection often empty",unknown,3,"Company is real; furniture URL showed no products at research time.","Call NY/TX warehouse for current furniture pallets.",,
22,"BULQ — browse marketplace (login)","https://www.bulq.com/",BULQ (Optoro),home_furnishings,"Case/pallet prices after login","Use eBay BULQ cases as public comp",varies,4,"Site returned 503 during research—use app/login; manifested cases.","Core upstream marketplace for many resellers.",,
23,"BULQ on eBay — search Home & Kitchen cases","https://www.ebay.com/sch/i.html?_nkw=bulq+home",BULQ on eBay,home_furnishings,"Per listing","eBay sold comps for similar case MSRP",varies,4,"Public listings; good for smaller test buys.","Smaller bite than truckload; manifest guarantee on cases.",,
24,"Regional GOOB signal — Gustafson's Furniture (98-yr store closing)","https://homenewsnow.com/blog/2026/05/25/gustafsons-furniture-mattress-goes-out-of-business-after-98-years/",Regional store closing sales (example),home_furnishings,"Not a pallet listing","N/A",N/A,4,"Real announced closing via PFP; opportunity is regional buyout not this URL.","Teach legitimacy: verify auctioneer/inventory—not all GOOB ads are real.",,
25,"Worldly Treasures — leather modular furniture (manifested)","https://www.worldlytreasuresliquidators.com/available-truckloads",Worldly Treasures Liquidators,home_furnishings,"$14,220","$395/unit × 36 units cited",22,4,"Manifested new leather; premium segment; verify SKU homogeneity.","Higher ticket furniture; West Coast.",,
26,"Worldly Treasures — new patio furniture manifested","https://www.worldlytreasuresliquidators.com/available-truckloads",Worldly Treasures Liquidators,home_furnishings,"See summary on page","98% new per listing",unknown,4,"Seasonal category; manifested; get summary pricing from broker.","Outdoor furnishings peak-season play.",,
27,"Liquidation.com — furniture category browse (benchmark scan)","https://www.liquidation.com/furniture.html",Liquidation.com,home_furnishings,"Auction bids","Current furniture pallet bids",N/A,5,"Benchmark-only sweep for comps on rows 1–12.","Refresh bids before customer meeting.",,
28,"American Bulk Pallets — liquidation guide / sourcing","https://americanbulkpallets.com/american-liquidations-how-to-buy-truckloads-safely/",American Bulk Pallets,general_merchandise,"Quote","Varies",unknown,3,"Educational/supplier site—use to source relationship not single SKU.","Additional upstream broker to register and query.",,
