rank,signal_id,signal_name,trap_types,signal_role,what_it_indicates,why_pre_channel_gem,primary_sources,search_or_monitor_queries,positive_indicators,already_has_channel_exclude_if,verification_steps,automation_phase,priority_home_goods,customer_verdict,customer_why
1,S01,Distress_before_liquidator_named,closing;overstock,hunt,Retailer/manufacturer in financial trouble but no Hilco/PFP/B-Stock/ReturnPro mentioned yet,Short window to offer direct TL buy before professional disposition contract,Local news; trade press; early whispers before PR,PACER docket before press,"""furniture"" ""closing"" -liquidation -Hilco -""going out of business sale"" operator",Store closing announced; warehouse mentioned; no named GOB firm in first articles,Press release names SB360 Hilco Gordon Brothers PFP ReturnPro or B-Stock partnership,1) Read first 3 news articles 2) Search entity + liquidator names 3) Call/store visit if local,Phase0_manual; Phase1_news_alerts,high,,,
15,S15,Channel_assigned_negative_training,exclude,exclude,Entity already on B-Stock ReturnPro DL Hilco PFP auction etc.,Teaches agents what to drop—not a lead,B-Stock seller list; press with liquidator name,Same entity + B-Stock OR Liquidation.com OR ReturnPro,Any confirmed public channel,Use to mark leads dead,Auto-exclude in Phase1,high,,,
16,S16,Floor_plan_inventory_financing_stress,closing;financial,hunt,Furniture dealer floor-plan curtailment or repossession (Triumph WF CIT etc.),Dealer may move stock before national GOB operator branded,Trade press; lender suits; court,"""floor plan"" furniture curtailment OR repossession",Curtailment notice; lender suit; dealer group distress,National liquidator named in same cycle,Verify dealer entity; call before PFP engagement,Phase1_trade_court,high,,,
17,S17,WARN_act_mass_layoff,closing;returns,hunt,Worker Adjustment and Retraining Notification (WARN) at retailer or DC,60-90 day window may align with DC wind-down,dol.gov WARN; state WARN logs,Employer name + home furnishings NAICS 442,WARN filed; layoff at DC or retail ops,S27 bankruptcy PR; use only stacked with S01 S02 S04,Pair with other signals; do not chase WARN alone,Phase1_warn,medium,,,
18,S18,Restructuring_advisor_no_liquidator,closing;overstock,hunt,AlixPartners FTI Riveron retained; no Hilco GOB in press yet,Serious stress window before disposition contract,Company PR; news,"""restructuring advisor"" furniture -Hilco -PFP",Advisor named; no liquidator in same article,Follow-up names Hilco PFP or auctioneer,Read full PR chain; channel gate,Phase1_news_alerts,high,,,
19,S19,State_ABC_or_receivership,closing;overstock,hunt,Assignment for benefit of creditors (ABC) or state receiver before public auction catalog,Manufacturer/importer inventory in court-supervised sale early,State court; receiver PR (PwC etc.),State receivership furniture manufacturer,A receiver appointed; no B-Stock catalog yet,Auction catalog live with auctioneer,Contact receiver; monitor docket,Phase1_state_court,high,,,
20,S20,Warehouse_storage_lien_litigation,returns;financial,hunt,3PL or warehouse sues retailer for unpaid storage—extends S05,Goods may need bulk buyer to clear building,civil court dockets,"""warehouse lien"" OR ""storage fees"" furniture debtor",Active suit; unpaid storage; trapped goods,S15 channel assigned on inventory,Pull suit; identify goods owner,Phase1_court,high,,,
21,S21,Commercial_eviction_furniture_tenant,closing;overstock,hunt,Landlord evicts furniture tenant; goods may remain,Bulk takeaway to empty space,county eviction indexes,"eviction"" furniture tenant inventory",Eviction filed; goods on site,Auctioneer named,Call landlord/tenant; confirm title,Phase1_court,medium,,,
22,S22,Local_warehouse_sale_ads,closing;returns,hunt,Craigslist/Facebook warehouse sale appointment only—not PFP/Hilco,Scales S11; owner backroom clearance,classifieds geo search,"""warehouse sale"" furniture appointment -PFP -Hilco",Local ad; phone; bulk language,Obvious broker scam or S26 entity,Visit or call; legitimacy score,Phase1_classifieds,high,,,
23,S23,Website_ops_diff,closing;returns,hunt,Warehouse sale page sitewide clearance Maps closed before liquidator news,Early digital signal before press,watchlist domain fetch diff,Site change detection on known entities,New clearance page; policy change,Redirects to Hilco B-Stock partner,Diff site; channel gate,Phase1_watchlist,medium,,,
24,S24,Public_co_inventory_write_down,overstock,hunt,SEC 10-Q 8-K impairment excess obsolete home goods issuer,Public pressure to move stock before formal program,SEC EDGAR; earnings transcripts,inventory impairment furniture,Write-down spike; markdown language,Disposition vendor in same filing,EDGAR search; transcript scan,Phase2_edgar,medium,,,
25,S25,Franchisee_dealer_group_collapse,closing,hunt,Local dealer LLC closes stores; HQ may still be solvent,Inventory trapped at dealer not corporate channel,Local news; SOS dealer entity,dealer closes furniture stores [city],Multi-store local LLC distress,HQ national liquidation program live,Identify local LLC; call dealer,Phase0_manual,medium,,,
26,S26,Liquidation_industry_entity,exclude,exclude,"Target IS a liquidator broker auctioneer ReturnPro goTRG remarketer—not trapped stock source",Customer rule: do not pursue companies in the liquidation business,NAICS; company about page; B-Stock seller index,"liquidation"" ""remarketing"" ""reverse logistics"" as core business",Business model is selling distressed inventory to resellers,Always exclude as opportunity source,Classify entity type before outreach,Phase1_entity_classifier,high,,,
27,S27,Bankruptcy_public_PR_or_press,exclude,exclude,Bankruptcy filing announced via press release newspaper or trade press—customer says too late,Window largely closed once public; use as negative training not hunt,News; PR wires; Google News bankruptcy,"""Chapter 11"" OR ""bankruptcy"" furniture press release",Bankruptcy story in papers; Hilco often follows in days,Always deprioritize for outreach; log as missed window,Auto-exclude when bankruptcy_public flag set,Phase1_news_classifier,high,,,
28,S28,Tax_lien_federal_or_state,financial,hunt,IRS Notice of Federal Tax Lien or state tax lien on business,Cash stress often months before bankruptcy PR,county recorder; state lien portals; aggregators,tax lien [entity name] [state],Lien recorded against business address,Entity is S26 liquidation industry,Search recorder; stack with S01 S02 S08,Phase1_lien_search,high,,,
29,S29,Collection_or_vendor_litigation,financial,hunt,Debt collection suit judgment or vendor non-payment lawsuit against retailer/manufacturer,Late pay proxy before public bankruptcy,state civil court; judgment lien index,collection OR vendor OR supplier lawsuit furniture,Active civil suit; judgment; materialman lien,Entity is S26; or S27 bankruptcy PR already,Suit search by debtor name; confirm operating,Phase1_court,high,,,
30,S30,Commercial_credit_deterioration,financial,hunt,D&B Paydex or Experian Business score sliding; deteriorating trade credit (paid data),Private company payment stress before public distress,Experian D&B licensed API (Phase 2),Paid credit monitor subscription,Score drop; slow pay classification,Requires licensed data—not web scrape,Subscribe API; match to entity list,Phase2_credit_api,medium,,,
