row_type,rank,priority,entity_name,address_or_metro,signal_ids,channel_status_May_2026,why_on_list,concrete_next_step,travel_from_NOVA,pre_channel_likelihood,notes_for_joe,customer_would_call,customer_why
INTRO,,,How to use this sheet,,,,,"One file for Joe (Northern VA). GUIDE rows (top) = instructions. LEAD rows = companies and monitors. In Excel: turn on Filter → show row_type = LEAD for the action list only.",,,,,
INTRO,,,Purpose,,,,,"Concrete DMV pre-channel list BEFORE we ask Joe to rank signal types. Assumes home base Northern VA. Not a promise of truckloads—a promise of earlier calls than liquidator press releases.",,,,,
GEO,,,Core zone (prioritize),,"Fairfax, Loudoun, Prince William, Arlington, Alexandria, Falls Church; DC; Montgomery, Prince George's, Howard MD",,,Typical drive 15–45 min from NOVA,,,,,
GEO,,,Stretch zone (flag long haul),,"Harford (Aberdeen Wayfair DC), Anne Arundel, Baltimore, Richmond, Newport News",,,Typical drive 60–120 min,,,,Default max first visit ~60 min until Joe says otherwise.,,
REALITY,,,DMV reality — Marlo + Value City,,,,,"Big local furniture already went through channels (Marlo closed Dec 2025; Value City Hilco GOB spring 2026). Use LESSON_CLOSED rows as timing examples—not live gems.",,,,,
REALITY,,,DMV reality — Random Harvest,,,,,"Closed May 2 2026. One call still worth it (warehouse remainder?) but unlikely full truckload.",,,,,
REALITY,,,DMV reality — Wayfair Aberdeen,,,,,"Real furniture returns via B-Stock only (~75 min). BENCHMARK row for pricing—not pre-channel cold call.",,,,,
REALITY,,,DMV reality — WARN,,,,,"Few furniture WARN hits in MD/VA 2025–26. Pair WARN with news + channel gate; do not rely on WARN alone.",,,,,
REALITY,,,DMV takeaway,,,,,"Pre-channel here = smaller independents + early distress. Win = call owner BEFORE PFP/Hilco—not scrape load boards or B-Stock.",,,,,
LEGEND,,,CALL_THIS_WEEK,,,,,Live lead worth a phone call now,,,,,,
LEGEND,,,MONITOR,,,,,Ongoing watch or setup task (LoopNet Indeed alerts),,,,,,
LEGEND,,,MONITOR_SOURCE,,,,,Recurring feed to check on a schedule,,,,,,
LEGEND,,,LESSON_CLOSED,,,,,Too late for pre-channel—study timing only,,,,,,
LEGEND,,,BENCHMARK_NOT_PRECHANNEL,,,,,Already on B-Stock or public channel—margin math only,,,,,,
ACTION,1,CALL_THIS_WEEK,This week action 1 — Random Harvest call,703-440-8310 Heirloom Express,,,,Call: any bulk storage or remainder after Georgetown close?,~15 min,,Only live CALL on the lead list. Owner-run S11.,,
LEAD,1,CALL_THIS_WEEK,Random Harvest Home Furnishings,"1313 Wisconsin Ave NW, Washington DC 20007",S11;S01,OPEN_no_PFP_Hilco,Owner-run closure completed May 2 2026; owner exploring options; no national liquidator in press,Call Beth Aberg or Heirloom Express 703-440-8310: warehouse/storage remainder for bulk buy?,~25 min,LOW_volume_maybe_pallets,"Not a truckload chain—good timing lesson. If nothing left still worth the call.",,
LEAD,2,MONITOR,The Container Store (Bed Bath merger),Research nearest DC + Coppell TX national DC,S10,UNKNOWN,Post-merger 2026 may shed inventory outside store GOB,Google entity + B-Stock; call corp real estate / surplus; ask MD/VA DC,Varies,LOW,Strategic—not bankruptcy. Long shot.,,
LEAD,3,MONITOR,LoopNet / Crexi — furniture or returns DC,Prince George's + Montgomery + Fairfax industrial,S08,OPEN_feed,Marlo vacated 3300 Marlo Lane Forestville; other tenants may leave goods,Weekly search: industrial for lease + furniture OR distribution + sublease,0–45 min,LOW_if_any,Ask broker: inventory included?,,
LEAD,4,MONITOR,Indeed — returns / disposition,Fairfax VA 25 mi radius,S03,OPEN_feed,Retailer hiring returns lead before ReturnPro = trapped inventory possible,Weekly: returns manager furniture -ReturnPro -goTRG,0–30 min,MEDIUM_if_hit,Note employer + DC city from job description.,,
LEAD,5,MONITOR,Macy's — DC-area / regional DC,S10;S04,FORMING_managed,Strategic closures 2026; DC inventory moves after floor,Identify DC serving DMV; RE broker intro—not store GOB,Varies,LOW,Benchmark process not marketplace.,,
LEAD,6,MONITOR,Home Depot Design Center closing,"12087 Rockville Pike, Rockville MD 20852",S10;S17,OPEN,MD WARN Jan 2026 85 employees; closure Mar 14 2026—home categories not furniture,Call surplus channel or visit before closure; verify bulk not fixtures only,~35 min,LOW_adjacent,Category stretch unless Joe wants HD home.,,
LEAD,7,BENCHMARK_NOT_PRECHANNEL,Wayfair — Aberdeen MD DC,Aberdeen MD Harford County,S15,B_STOCK_ASSIGNED,Returns TL via B-Stock FOB Aberdeen—margin math only,Register B-Stock Wayfair; filter Aberdeen MD—not cold call for pre-channel,~75 min,ZERO_prechannel,~1 hr from NOVA; good price comp.,,
LEAD,8,BENCHMARK_NOT_PRECHANNEL,Wayfair Outlet Hanover,"7000 Arundel Mills Cir, Hanover MD 21076",S15,RETAIL_OUTLET,Consumer outlet not B2B TL,Do not cold call as gem,~50 min,ZERO,,,
LEAD,9,LESSON_CLOSED,Marlo Furniture (6 DMV stores),725 Rockville Pike + others,S11;S02,WINDOW_CLOSED_Dec_2025,Closed Dec 28 2025; Forestville warehouse sold for logistics May 2026,Do not chase—study: Aug–Nov 2025 was the window,0–40 min,ZERO_now,Timing example for meeting.,,
LEAD,10,LESSON_CLOSED,Value City / American Signature — DMV,"5516 Leesburg Pike Bailey's Crossroads; 12055 Rockville Pike",S15,HILCO_SB360_ASSIGNED,Ch11 Nov 2025; GOB Jan 2026; stores closed Mar–Apr 2026,Do not outreach—Hilco/Gordon for residual if any,0–45 min,ZERO,9 MD + 7 VA stores in chain.,,
LEAD,11,LESSON_CLOSED,Value City — Richmond / Newport News VA,9110 W Broad St; 12149 Jefferson Ave,S15,ASSIGNED,Same bankruptcy—outside daily NOVA drive,Benchmark only,~90–120 min,ZERO,,,
LEAD,12,MONITOR_SOURCE,MD WARN log,https://www.labor.maryland.gov/employment/warn2025.shtml,S17,OPEN,Monthly scan furniture NAICS 442,Download PDF monthly; filter 442 and big-box home,Desk,VARIES,,,
LEAD,13,MONITOR_SOURCE,VA WARN,https://www.virginiaworks.gov/warn-notices,S17,OPEN,Monthly Virginia employers,Monthly scan,Desk,VARIES,,,
LEAD,14,MONITOR_SOURCE,DC WARN,https://does.dc.gov/page/industry-closings-and-layoffs-warn-notifications-2026,S17,OPEN,Smaller list,Monthly,Desk,VARIES,,,
LEAD,15,MONITOR_SOURCE,Google Alert — DMV furniture distress,https://www.google.com/alerts,S01;S11;S04,OPEN,Automate local closure news,Set 3 ALERT rows above; daily digest,Desk,N/A,,,
LEAD,16,MONITOR_SOURCE,Furniture Today closings,https://www.furnituretoday.com/store-closings/,S01,OPEN,National feed—filter DMV weekly,Every Monday ~10 min,Desk,N/A,,,
LEAD,17,MONITOR_SOURCE,PACER — EDVA + D.Md.,Bankruptcy courts VA/MD/DC,S09;S02,OPEN,Local Ch11 furniture dealers,Search new filings: furniture home furnishings,Desk,N/A,EDVA = Eastern District Virginia.,,
